Signal,System Time,GEN Time,Result,Value,Exp. Min.,Exp. Max.
Delay_Sinewave Output,6.000000,0.000000,Fail,45.306569,-1.500000,13.500000
Delay_Sinewave Output,6.010000,0.010000,Fail,42.849231,-1.500000,13.500000
Delay_Sinewave Output,6.020000,0.020000,Fail,42.749364,-1.500000,13.500000
Delay_Sinewave Output,6.030000,0.030000,Fail,43.633595,-1.500000,13.500000
Delay_Sinewave Output,6.040000,0.040000,Fail,45.058570,-1.500000,13.500000
Delay_Sinewave Output,6.050000,0.050000,Fail,41.541461,-1.500000,13.500000
Delay_Sinewave Output,6.060000,0.060000,Fail,41.477904,-1.500000,13.500000
Delay_Sinewave Output,6.070000,0.070000,Fail,42.913107,-1.500000,13.500000
Delay_Sinewave Output,6.080000,0.080000,Fail,42.402814,-1.500000,13.500000
Delay_Sinewave Output,6.090000,0.090000,Fail,41.051799,-1.500000,13.500000
Delay_Sinewave Output,6.100000,0.100000,Fail,41.490000,-1.500000,13.500000
Delay_Sinewave Output,6.110000,0.110000,Fail,43.617940,-1.500000,13.500000
Delay_Sinewave Output,6.120000,0.120000,Fail,41.099231,-1.500000,13.500000
Delay_Sinewave Output,6.130000,0.130000,Fail,40.644585,-1.500000,13.500000
Delay_Sinewave Output,6.140000,0.140000,Fail,40.425989,-1.500000,13.500000
Delay_Sinewave Output,6.150000,0.150000,Fail,43.191154,-1.500000,13.500000
Delay_Sinewave Output,6.160000,0.160000,Fail,39.990291,-1.500000,13.500000
Delay_Sinewave Output,6.170000,0.170000,Fail,39.739129,-1.500000,13.500000
Delay_Sinewave Output,6.180000,0.180000,Fail,39.651834,-1.500000,13.500000
Delay_Sinewave Output,6.190000,0.190000,Fail,40.525541,-1.500000,13.500000
Delay_Sinewave Output,6.200000,0.200000,Fail,42.484667,-1.500000,13.500000
Delay_Sinewave Output,6.210000,0.210000,Fail,40.507260,-1.500000,13.500000
Delay_Sinewave Output,6.220000,0.220000,Fail,40.514189,-1.500000,13.500000
Delay_Sinewave Output,6.230000,0.230000,Fail,42.249621,-1.500000,13.500000
Delay_Sinewave Output,6.240000,0.240000,Fail,41.747965,-1.500000,13.500000
Delay_Sinewave Output,6.250000,0.250000,Fail,40.551463,-1.500000,13.500000
Delay_Sinewave Output,6.260000,0.260000,Fail,41.557451,-1.500000,13.500000
Delay_Sinewave Output,6.270000,0.270000,Fail,40.923823,-1.500000,13.500000
Delay_Sinewave Output,6.280000,0.280000,Fail,39.763567,-1.500000,13.500000
Delay_Sinewave Output,6.290000,0.290000,Fail,39.173301,-1.500000,13.500000
Delay_Sinewave Output,6.300000,0.300000,Fail,38.167997,-1.500000,13.500000
Delay_Sinewave Output,6.310000,0.310000,Fail,39.960300,-1.500000,13.500000
Delay_Sinewave Output,6.320000,0.320000,Fail,41.424978,-1.500000,13.500000
Delay_Sinewave Output,6.330000,0.330000,Fail,39.346267,-1.500000,13.500000
Delay_Sinewave Output,6.340000,0.340000,Fail,38.705990,-1.500000,13.500000
Delay_Sinewave Output,6.350000,0.350000,Fail,39.876953,-1.500000,13.500000
Delay_Sinewave Output,6.360000,0.360000,Fail,38.622178,-1.500000,13.500000
Delay_Sinewave Output,6.370000,0.370000,Fail,40.104764,-1.500000,13.500000
Delay_Sinewave Output,6.380000,0.380000,Fail,40.987864,-1.500000,13.500000
Delay_Sinewave Output,6.390000,0.390000,Fail,39.099110,-1.500000,13.500000
Delay_Sinewave Output,6.400000,0.400000,Fail,40.686529,-1.500000,13.500000
Delay_Sinewave Output,6.410000,0.410000,Fail,37.461911,-1.500000,13.500000
Delay_Sinewave Output,6.420000,0.420000,Fail,40.781968,-1.500000,13.500000
Delay_Sinewave Output,6.430000,0.430000,Fail,39.522392,-1.500000,13.500000
Delay_Sinewave Output,6.440000,0.440000,Fail,40.153353,-1.500000,13.500000
Delay_Sinewave Output,6.450000,0.450000,Fail,39.369636,-1.500000,13.500000
Delay_Sinewave Output,6.460000,0.460000,Fail,37.780795,-1.500000,13.500000
Delay_Sinewave Output,6.470000,0.470000,Fail,38.046929,-1.500000,13.500000
Delay_Sinewave Output,6.480000,0.480000,Fail,38.607941,-1.500000,13.500000
Delay_Sinewave Output,6.490000,0.490000,Fail,37.231129,-1.500000,13.500000
Delay_Sinewave Output,6.550000,0.550000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.560000,0.560000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.570000,0.570000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.580000,0.580000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.590000,0.590000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.600000,0.600000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.610000,0.610000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.620000,0.620000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.630000,0.630000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.640000,0.640000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.650000,0.650000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.660000,0.660000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.670000,0.670000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.680000,0.680000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.690000,0.690000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.700000,0.700000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.710000,0.710000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.720000,0.720000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.730000,0.730000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.740000,0.740000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.750000,0.750000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.760000,0.760000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.770000,0.770000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.780000,0.780000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.790000,0.790000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.800000,0.800000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.810000,0.810000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.820000,0.820000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.830000,0.830000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.840000,0.840000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.850000,0.850000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.860000,0.860000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.870000,0.870000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.880000,0.880000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.890000,0.890000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.900000,0.900000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.910000,0.910000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.920000,0.920000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.930000,0.930000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.940000,0.940000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.950000,0.950000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.960000,0.960000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.970000,0.970000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.980000,0.980000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,6.990000,0.990000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,7.000000,1.000000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,7.010000,1.010000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,7.020000,1.020000,Fail,55.149114,10.000000,25.000000
Delay_Sinewave Output,7.030000,1.030000,Fail,54.976054,10.000000,25.000000
Delay_Sinewave Output,7.040000,1.040000,Fail,54.801336,10.000000,25.000000
Delay_Sinewave Output,7.050000,1.050000,Fail,54.629661,10.000000,25.000000
Delay_Sinewave Output,7.060000,1.060000,Fail,54.465721,10.000000,25.000000
