Signal,System Time,GEN Time,Result,Value,Exp. Min.,Exp. Max.
Delay_Sinewave Output,7.670000,0.000000,Fail,55.646452,-1.500000,13.500000
Delay_Sinewave Output,7.680000,0.010000,Fail,55.810440,-1.500000,13.500000
Delay_Sinewave Output,7.690000,0.020000,Fail,57.781030,-1.500000,13.500000
Delay_Sinewave Output,7.700000,0.030000,Fail,55.782583,-1.500000,13.500000
Delay_Sinewave Output,7.710000,0.040000,Fail,56.210379,-1.500000,13.500000
Delay_Sinewave Output,7.720000,0.050000,Fail,57.005901,-1.500000,13.500000
Delay_Sinewave Output,7.730000,0.060000,Fail,56.360247,-1.500000,13.500000
Delay_Sinewave Output,7.740000,0.070000,Fail,57.861279,-1.500000,13.500000
Delay_Sinewave Output,7.750000,0.080000,Fail,58.032653,-1.500000,13.500000
Delay_Sinewave Output,7.760000,0.090000,Fail,58.126578,-1.500000,13.500000
Delay_Sinewave Output,7.770000,0.100000,Fail,58.260560,-1.500000,13.500000
Delay_Sinewave Output,7.780000,0.110000,Fail,56.219858,-1.500000,13.500000
Delay_Sinewave Output,7.790000,0.120000,Fail,56.555321,-1.500000,13.500000
Delay_Sinewave Output,7.800000,0.130000,Fail,56.929050,-1.500000,13.500000
Delay_Sinewave Output,7.810000,0.140000,Fail,58.506904,-1.500000,13.500000
Delay_Sinewave Output,7.820000,0.150000,Fail,59.443519,-1.500000,13.500000
Delay_Sinewave Output,7.830000,0.160000,Fail,57.590301,-1.500000,13.500000
Delay_Sinewave Output,7.840000,0.170000,Fail,58.228718,-1.500000,13.500000
Delay_Sinewave Output,7.850000,0.180000,Fail,56.854418,-1.500000,13.500000
Delay_Sinewave Output,7.860000,0.190000,Fail,59.819302,-1.500000,13.500000
Delay_Sinewave Output,7.870000,0.200000,Fail,57.371791,-1.500000,13.500000
Delay_Sinewave Output,7.880000,0.210000,Fail,58.589909,-1.500000,13.500000
Delay_Sinewave Output,7.890000,0.220000,Fail,59.163446,-1.500000,13.500000
Delay_Sinewave Output,7.900000,0.230000,Fail,103.955969,-1.500000,13.500000
Delay_Sinewave Output,7.910000,0.240000,Fail,106.570248,-1.500000,13.500000
Delay_Sinewave Output,7.920000,0.250000,Fail,100.548045,-1.500000,13.500000
Delay_Sinewave Output,7.930000,0.260000,Fail,100.502782,-1.500000,13.500000
Delay_Sinewave Output,7.940000,0.270000,Fail,100.525863,-1.500000,13.500000
Delay_Sinewave Output,7.950000,0.280000,Fail,100.094296,-1.500000,13.500000
Delay_Sinewave Output,7.960000,0.290000,Fail,103.486412,-1.500000,13.500000
Delay_Sinewave Output,7.970000,0.300000,Fail,103.048221,-1.500000,13.500000
Delay_Sinewave Output,7.980000,0.310000,Fail,107.072747,-1.500000,13.500000
Delay_Sinewave Output,7.990000,0.320000,Fail,101.457655,-1.500000,13.500000
Delay_Sinewave Output,8.000000,0.330000,Fail,104.067793,-1.500000,13.500000
Delay_Sinewave Output,8.010000,0.340000,Fail,100.766277,-1.500000,13.500000
Delay_Sinewave Output,8.020000,0.350000,Fail,106.996752,-1.500000,13.500000
Delay_Sinewave Output,8.030000,0.360000,Fail,107.524421,-1.500000,13.500000
Delay_Sinewave Output,8.040000,0.370000,Fail,102.178688,-1.500000,13.500000
Delay_Sinewave Output,8.050000,0.380000,Fail,107.248664,-1.500000,13.500000
Delay_Sinewave Output,8.060000,0.390000,Fail,106.463589,-1.500000,13.500000
Delay_Sinewave Output,8.070000,0.400000,Fail,106.872902,-1.500000,13.500000
Delay_Sinewave Output,8.080000,0.410000,Fail,105.747220,-1.500000,13.500000
Delay_Sinewave Output,8.090000,0.420000,Fail,101.202620,-1.500000,13.500000
Delay_Sinewave Output,8.100000,0.430000,Fail,105.760072,-1.500000,13.500000
Delay_Sinewave Output,8.110000,0.440000,Fail,100.696800,-1.500000,13.500000
Delay_Sinewave Output,8.120000,0.450000,Fail,110.120568,-1.500000,13.500000
Delay_Sinewave Output,8.130000,0.460000,Fail,104.898173,-1.500000,13.500000
Delay_Sinewave Output,8.140000,0.470000,Fail,110.039809,-1.500000,13.500000
Delay_Sinewave Output,8.150000,0.480000,Fail,107.547386,-1.500000,13.500000
Delay_Sinewave Output,8.160000,0.490000,Fail,105.511933,-1.500000,13.500000
Delay_Sinewave Output,8.220000,0.550000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.230000,0.560000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.240000,0.570000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.250000,0.580000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.260000,0.590000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.270000,0.600000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.280000,0.610000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.290000,0.620000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.300000,0.630000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.310000,0.640000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.320000,0.650000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.330000,0.660000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.340000,0.670000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.350000,0.680000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.360000,0.690000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.370000,0.700000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.380000,0.710000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.390000,0.720000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.400000,0.730000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.410000,0.740000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.420000,0.750000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.430000,0.760000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.440000,0.770000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.450000,0.780000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.460000,0.790000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.470000,0.800000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.480000,0.810000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.490000,0.820000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.500000,0.830000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.510000,0.840000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.520000,0.850000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.530000,0.860000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.540000,0.870000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.550000,0.880000,Fail,5.000000,10.000000,25.000000
Delay_Sinewave Output,8.560000,0.890000,Fail,5.000000,10.000000,25.000000
